open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1704326400000,1.914000,1.965500,1.901300,1.943700,26086094.6,1704329999999,50507516.9629800,96465,13854385.7,26834515.7549600,0
1704330000000,1.943700,1.955000,1.846100,1.852500,32543252.9,1704333599999,61564196.8834900,121636,13686521.4,25891629.3583200,0
1704333600000,1.852600,1.920100,1.850600,1.917100,16793455.6,1704337199999,31643028.4313600,64133,9847233.9,18567392.5915200,0
1704337200000,1.917200,1.943800,1.910700,1.938800,17342496.9,1704340799999,33453624.3079400,68512,8474220.8,16347753.8720600,0
1704340800000,1.938800,1.992500,1.925800,1.990800,21692469.9,1704344399999,42438151.7765800,89936,11581986.9,22665265.8800900,0
1704344400000,1.990700,1.990700,1.947300,1.948100,18239267.3,1704347999999,35875792.5456000,70561,8394788.9,16515812.3938100,0
1704348000000,1.947800,1.985700,1.943000,1.956800,14714440.3,1704351599999,28834237.7411400,58538,7269202.3,14247442.2973600,0
1704351600000,1.956800,1.970800,1.911700,1.922100,20571449.9,1704355199999,39840244.1814000,83930,9323888.8,18065660.2275900,0
1704355200000,1.922100,1.929600,1.876200,1.906400,21907460.3,1704358799999,41603074.1955400,85631,10768030.5,20453866.5029300,0
1704358800000,1.906400,1.918000,1.880800,1.884300,22409433.6,1704362399999,42498325.7361900,79365,11995370.3,22746839.6369000,0
1704362400000,1.884300,1.886800,1.811100,1.829700,33623230.4,1704365999999,62091115.3983400,123383,14663933.2,27081937.8336400,0
1704366000000,1.829800,1.861200,1.817400,1.831100,22297491.2,1704369599999,40959734.7791900,85479,11109435.7,20414975.1451100,0
1704369600000,1.831200,1.895000,1.828300,1.881000,26650664.0,1704373199999,49667755.1850900,103234,14924263.4,27818575.6352000,0
1704373200000,1.880900,1.915500,1.874600,1.908200,20489559.0,1704376799999,38772463.8307900,77941,10029922.4,18983013.1987000,0
1704376800000,1.908100,2.045900,1.870000,2.042300,47072641.5,1704380399999,91624640.6491700,185162,24305202.6,47364789.0748100,0
1704380400000,2.042400,2.076100,1.987000,2.050900,65909354.1,1704383999999,133758982.3063600,270363,31607089.6,64162623.6759800,0
1704384000000,2.050900,2.057500,1.992500,2.028100,34538098.4,1704387599999,69763709.3156700,147666,15949593.7,32225396.5546800,0
1704387600000,2.028200,2.117400,2.010000,2.030800,49458262.3,1704391199999,102089687.2257200,219099,24565938.8,50724667.2078800,0
1704391200000,2.030600,2.108000,2.027800,2.094300,28651652.6,1704394799999,59298736.5796500,129739,14517356.8,30044791.3614700,0
1704394800000,2.094200,2.120000,2.059800,2.072900,28438853.7,1704398399999,59469222.4864300,139288,13694527.0,28651293.3176200,0
1704398400000,2.072900,2.098400,2.048100,2.055500,18934827.2,1704401999999,39324673.4923200,93062,8803702.8,18294246.5151500,0
1704402000000,2.055600,2.084900,2.026600,2.037900,16494603.9,1704405599999,33848213.2798700,80480,7950065.6,16320929.1260000,0
1704405600000,2.038000,2.052800,2.010000,2.017600,11078183.2,1704409199999,22495497.7318700,55036,5112907.5,10390817.0536000,0
1704409200000,2.017600,2.025000,1.997200,2.005200,10000853.2,1704412799999,20112798.2385800,45380,4454181.0,8962112.3260800,0
1704412800000,2.005200,2.018100,1.970000,1.985400,15008277.6,1704416399999,29897315.8962000,66762,7074581.4,14099162.0328400,0
1704416400000,1.985100,1.995000,1.876200,1.937900,35372075.8,1704419999999,68557362.3978000,135657,16493119.7,31967175.8328800,0
1704420000000,1.937900,1.958900,1.910800,1.925600,19502781.1,1704423599999,37681483.7099800,88365,9562828.1,18481260.8704200,0
1704423600000,1.925700,1.952800,1.912500,1.923600,13801726.2,1704427199999,26670206.6317500,64096,7065788.3,13659621.1645600,0
1704427200000,1.923600,1.932100,1.887600,1.892800,21696638.6,1704430799999,41324414.8563600,85673,10034385.5,19113917.9882300,0
1704430800000,1.892800,1.941300,1.890600,1.937200,15931410.9,1704434399999,30616948.5298600,67281,8691301.3,16702148.4315100,0
1704434400000,1.937100,1.966000,1.923100,1.958800,16283161.4,1704437999999,31666824.0573600,66609,8145958.8,15851468.5106700,0
1704438000000,1.958900,1.969900,1.935300,1.944200,15640678.9,1704441599999,30548633.3389300,67516,7396311.3,14448678.4055100,0
1704441600000,1.944000,1.957800,1.914500,1.928500,17516380.6,1704445199999,33844749.5366400,67992,8143528.8,15736995.9482500,0
1704445200000,1.928400,2.014900,1.928400,2.009000,37781196.7,1704448799999,74656850.1415000,140584,19837640.9,39201129.6937500,0
1704448800000,2.009000,2.011200,1.902400,1.930200,35022430.3,1704452399999,68886494.5121200,137733,14937572.0,29394943.3911100,0
1704452400000,1.930200,1.953800,1.909800,1.919300,24322099.0,1704455999999,46893594.0555400,106151,12033233.9,23206067.3224600,0
1704456000000,1.919300,1.949500,1.896900,1.941000,20025423.9,1704459599999,38616403.8283800,93053,10000803.7,19297491.3352800,0
1704459600000,1.941100,1.950100,1.911900,1.934800,17110883.4,1704463199999,33045438.1586300,78611,8224476.6,15884018.9531500,0
1704463200000,1.934800,1.946200,1.846000,1.870800,40535216.6,1704466799999,76446425.6806100,164588,18815954.3,35501670.5339900,0
1704466800000,1.870800,1.902100,1.856300,1.871500,19689638.2,1704470399999,37039802.1834500,88435,9456694.7,17794903.6007100,0
1704470400000,1.871200,1.908000,1.822500,1.833800,29816419.1,1704473999999,55742856.9016500,111995,13753868.4,25734471.4616900,0
